Load data info from ./datainfo/train_df_6_5.pickle
Number of samples in training dataset: 16315
Number of samples in validation dataset: 4075

Moving model to GPU...

Loaded weights from: ./models/t000102050809_v04060710_im184x608_s5x7_b8_rnn1000_optAdagrad_lr0.0005.model.train

Begin training model...

Batch Number 635 Loss: 9.072
Batch Number 636 Loss: 4.779
Batch Number 637 Loss: 3.923
Batch Number 638 Loss: 1.487
Batch Number 639 Loss: 6.559
Batch Number 640 Loss: 10.398
Batch Number 641 Loss: 21.326
Batch Number 642 Loss: 3.259
Batch Number 643 Loss: 5.541
Batch Number 644 Loss: 11.847
Batch Number 645 Loss: 8.469
Batch Number 646 Loss: 11.335
Batch Number 647 Loss: 2.843
Batch Number 648 Loss: 4.122
Batch Number 649 Loss: 4.691
Batch Number 650 Loss: 4.138
Batch Number 651 Loss: 3.960
Batch Number 652 Loss: 6.856
Batch Number 653 Loss: 4.787
Batch Number 654 Loss: 5.268
Batch Number 655 Loss: 7.202
Batch Number 656 Loss: 5.031
Batch Number 657 Loss: 5.878
Batch Number 658 Loss: 5.717
Batch Number 659 Loss: 11.398
Batch Number 660 Loss: 5.317
Batch Number 661 Loss: 4.161
Batch Number 662 Loss: 6.222
Batch Number 663 Loss: 6.642
Batch Number 664 Loss: 7.896
Batch Number 665 Loss: 3.738
Batch Number 666 Loss: 13.483
Batch Number 667 Loss: 7.551
Batch Number 668 Loss: 7.395
Batch Number 669 Loss: 2.027
Batch Number 670 Loss: 3.381
Batch Number 671 Loss: 5.937
Batch Number 672 Loss: 31.184
Batch Number 673 Loss: 16.382
Batch Number 674 Loss: 7.378
Batch Number 675 Loss: 9.655
Batch Number 676 Loss: 11.554
Batch Number 677 Loss: 15.154
Batch Number 678 Loss: 8.707
Batch Number 679 Loss: 1.710
Batch Number 680 Loss: 3.158
Batch Number 681 Loss: 3.588
Batch Number 682 Loss: 4.260
Batch Number 683 Loss: 4.848
Batch Number 684 Loss: 2.631
Batch Number 685 Loss: 2.941
Batch Number 686 Loss: 5.575
Batch Number 687 Loss: 4.903
Batch Number 688 Loss: 4.967
Batch Number 689 Loss: 5.200
Batch Number 690 Loss: 7.838
Batch Number 691 Loss: 4.042
Batch Number 692 Loss: 4.070
Batch Number 693 Loss: 11.829
Batch Number 694 Loss: 2.456
Batch Number 695 Loss: 4.205
Batch Number 696 Loss: 9.424
Batch Number 697 Loss: 14.936
Batch Number 698 Loss: 2.014
Batch Number 699 Loss: 9.306
Batch Number 700 Loss: 10.769
Batch Number 701 Loss: 9.888
Batch Number 702 Loss: 2.137
Batch Number 703 Loss: 5.290
Batch Number 704 Loss: 29.490
Batch Number 705 Loss: 7.436
Batch Number 706 Loss: 3.477
Batch Number 707 Loss: 2.475
Batch Number 708 Loss: 7.813
Batch Number 709 Loss: 5.189
Batch Number 710 Loss: 4.216
Batch Number 711 Loss: 3.463
Batch Number 712 Loss: 1.010
Batch Number 713 Loss: 9.442
Batch Number 714 Loss: 2.900
Batch Number 715 Loss: 1.729
Batch Number 716 Loss: 8.282
Batch Number 717 Loss: 6.347
Batch Number 718 Loss: 5.851
Batch Number 719 Loss: 4.425
Batch Number 720 Loss: 2.109
Batch Number 721 Loss: 7.498
Batch Number 722 Loss: 1.057
Batch Number 723 Loss: 9.534
Batch Number 724 Loss: 3.624
Batch Number 725 Loss: 7.853
Batch Number 726 Loss: 4.936
Batch Number 727 Loss: 9.640
Batch Number 728 Loss: 3.854
Batch Number 729 Loss: 6.142
Batch Number 730 Loss: 1.344
Batch Number 731 Loss: 1.232
Batch Number 732 Loss: 6.816
Batch Number 733 Loss: 2.710
Batch Number 734 Loss: 5.139
Batch Number 735 Loss: 7.524
Batch Number 736 Loss: 6.242
Batch Number 737 Loss: 14.930
Batch Number 738 Loss: 2.749
Batch Number 739 Loss: 3.209
Batch Number 740 Loss: 6.328
Batch Number 741 Loss: 9.733
Batch Number 742 Loss: 3.387
Batch Number 743 Loss: 4.879
Batch Number 744 Loss: 3.669
Batch Number 745 Loss: 5.413
Batch Number 746 Loss: 2.750
Batch Number 747 Loss: 11.643
Batch Number 748 Loss: 8.548
Batch Number 749 Loss: 8.554
Batch Number 750 Loss: 2.502
Batch Number 751 Loss: 2.765
Batch Number 752 Loss: 12.612
Batch Number 753 Loss: 5.256
Batch Number 754 Loss: 6.278
Batch Number 755 Loss: 4.576
Batch Number 756 Loss: 3.625
Batch Number 757 Loss: 4.057
Batch Number 758 Loss: 3.773
Batch Number 759 Loss: 6.690
Batch Number 760 Loss: 2.775
Batch Number 761 Loss: 4.986
Batch Number 762 Loss: 6.935
Batch Number 763 Loss: 7.171
Batch Number 764 Loss: 17.883
Batch Number 765 Loss: 6.211
Batch Number 766 Loss: 3.555
Batch Number 767 Loss: 7.015
Batch Number 768 Loss: 26.420
Batch Number 769 Loss: 6.207
Batch Number 770 Loss: 3.926
Batch Number 771 Loss: 8.773
Batch Number 772 Loss: 13.781
Batch Number 773 Loss: 3.362
Batch Number 774 Loss: 6.577
Batch Number 775 Loss: 7.688
Batch Number 776 Loss: 4.276
Batch Number 777 Loss: 24.835
Batch Number 778 Loss: 21.522
Batch Number 779 Loss: 3.011
Batch Number 780 Loss: 2.110
Batch Number 781 Loss: 1.883
Batch Number 782 Loss: 5.510
Batch Number 783 Loss: 7.403
Batch Number 784 Loss: 10.995
